2.02126,0.735342,-0.927444
2.02326,0.733427,-0.926116
2.02526,0.731522,-0.924784
2.02726,0.729627,-0.923447
2.02926,0.727742,-0.922106
2.03126,0.725866,-0.920761
2.03326,0.723999,-0.919411
2.03526,0.722142,-0.918057
2.03726,0.720294,-0.916699
2.03926,0.718455,-0.915337
2.04126,0.716625,-0.91397
2.04326,0.714804,-0.9126
2.04526,0.712992,-0.911226
2.04726,0.711189,-0.909847
2.04926,0.709394,-0.908465
2.05126,0.707608,-0.907079
2.05326,0.705831,-0.905689
2.05526,0.704062,-0.904296
2.05726,0.702302,-0.902899
2.05926,0.70055,-0.901498
2.06126,0.698806,-0.900093
2.06326,0.69707,-0.898685
2.06526,0.695342,-0.897273
2.06726,0.693623,-0.895858
2.06926,0.691911,-0.89444
2.07126,0.690208,-0.893017
2.07326,0.688512,-0.891592
2.07526,0.686824,-0.890163
2.07726,0.685143,-0.888731
2.07926,0.683471,-0.887296
2.08126,0.681805,-0.885857
2.08326,0.680148,-0.884415
2.08526,0.678497,-0.88297
2.08726,0.676855,-0.881522
2.08926,0.675219,-0.880071
2.09126,0.673591,-0.878616
2.09326,0.67197,-0.877159
2.09526,0.670356,-0.875698
2.09726,0.668749,-0.874235
2.09926,0.667149,-0.872769
2.10126,0.665557,-0.871299
2.10326,0.663971,-0.869827
2.10526,0.662392,-0.868352
2.10726,0.66082,-0.866874
2.10926,0.659255,-0.865393
2.11126,0.657696,-0.86391
2.11326,0.656144,-0.862424
2.11526,0.654599,-0.860935
2.11726,0.65306,-0.859443
2.11926,0.651528,-0.857949
2.12126,0.650002,-0.856452
2.12326,0.648483,-0.854952
2.12526,0.64697,-0.85345
2.12726,0.645463,-0.851946
2.12926,0.643963,-0.850438
2.13126,0.642469,-0.848929
2.13326,0.640981,-0.847416
2.13526,0.6395,-0.845901
2.13726,0.638024,-0.844384
2.13926,0.636555,-0.842865
2.14126,0.635091,-0.841343
2.14326,0.633634,-0.839818
2.14526,0.632183,-0.838291
2.14726,0.630737,-0.836762
2.14926,0.629298,-0.835231
2.15126,0.627864,-0.833697
